block_group_id,nWorkers
250277151002,1
250277262001,1
250277281001,1
250277292003,1
250277308022,1
250277309023,1
250277322011,1
250277322012,1
250277324005,1
250277351004,1
250277365002,1
250277382012,1
250277392002,1
250277401011,1
250277411012,1
250277411022,1
250277424011,1
250277431002,1
250277431003,1
250277441015,1
250277441022,1
250277444001,1
250277471011,1
250277471013,1
250277491003,1
250277541004,1
250277611004,1
271230407051,1
271410304021,1
330019661004,1
330039563004,1
330099616024,1
330110003002,1
330110006001,1
330110009022,1
330110011005,1
330110016002,1
330110026004,1
330110027023,1
330110029013,1
330110123002,1
330110123004,1
330110143001,1
330110171004,1
330110190001,1
330110225002,1
330112003001,1
330130300001,1
330150036021,1
330150038021,1
330150039012,1
330150040003,1
330150650012,1
330150650083,1
330150660002,1
330150675012,1
330151002002,1
330151003011,1
330151003023,1
330151021001,1
330151041012,1
330170816002,1
330170850001,1
330170850005,1
340350539052,1
360010146071,1
360550131031,1
360595184003,1
360610156012,1
440030206011,1
440070010002,1
440070018001,1
440070103003,1
440070106005,1
440070128013,1
440070133001,1
440070173001,1
440090508011,1
440090512012,1
470930057081,1
481130142061,1
481677216001,1
482015107002,1
482015218001,1
490351019002,1
500110109001,1
510594612013,1
518000754031,1
550790902001,1
60591102013,1
60730208111,1
61110054031,1
80350141322,1
90117001002,1
90138815001,1
